block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l1_read_bw(GB/s),aic_l1_write_bw(GB/s),aic_main_mem_read_bw(GB/s),aic_main_mem_write_bw(GB/s),aic_mte1_instructions,aic_mte1_ratio,aic_mte2_instructions,aic_mte2_ratio,aic_mte3_instructions,aic_mte3_ratio,aiv_time(us),aiv_total_cycles,aiv_ub_to_gm_bw(GB/s),aiv_gm_to_ub_bw(GB/s),aiv_main_mem_read_bw(GB/s),aiv_main_mem_write_bw(GB/s),aiv_mte2_instructions,aiv_mte2_ratio,aiv_mte3_instructions,aiv_mte3_ratio,read_main_memory_datas(KB),write_main_memory_datas(KB),GM_to_L1_datas(KB),GM_to_L1_bw_usage_rate(%),L1_to_GM_datas(KB)(estimate),L1_to_GM_bw_usage_rate(%)(estimate),L0C_to_L1_datas(KB),L0C_to_L1_bw_usage_rate(%),L0C_to_GM_datas(KB),L0C_to_GM_bw_usage_rate(%),GM_to_UB_datas(KB),GM_to_UB_bw_usage_rate(%),UB_to_GM_datas(KB),UB_to_GM_bw_usage_rate(%),
5,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1021.542236,1838776,4.265455,10.208839,10.274062,4.319522,1250,0.260483,577,0.097054,11282.500000,4743.500000,NA,NA,NA,NA,NA,NA,NA,NA,11210.875000,4.639116,4684.125000,2.283434,
6,cube0,1027.482788,1849469,22.437887,22.393950,22.380974,8.488680,5286,0.112164,1349,0.471243,18,0.003479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24577.750000,9321.875000,24592.000000,8.482557,567.500000,0.259127,0.000000,0.000000,9216.000000,4.009300,NA,NA,NA,NA,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1027.200562,1848961,4.263748,10.210205,10.273607,4.319181,1250,0.256537,577,0.092758,11282.000000,4743.125000,NA,NA,NA,NA,NA,NA,NA,NA,11212.375000,4.639737,4682.250000,2.282520,
6,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1026.883911,1848391,4.265455,10.208839,10.274062,4.319522,1250,0.256469,577,0.093345,11282.500000,4743.500000,NA,NA,NA,NA,NA,NA,NA,NA,11210.875000,4.639116,4684.125000,2.283434,
7,cube0,1016.993347,1830588,22.437887,22.393950,22.380974,8.488680,5286,0.112434,1349,0.471186,18,0.005022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24577.750000,9321.875000,24592.000000,8.482557,567.500000,0.259127,0.000000,0.000000,9216.000000,4.009300,NA,NA,NA,NA,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1013.635559,1824544,4.263748,10.210205,10.273607,4.319181,1250,0.254856,577,0.090550,11282.000000,4743.125000,NA,NA,NA,NA,NA,NA,NA,NA,11212.375000,4.639737,4682.250000,2.282520,
7,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1016.716125,1830089,4.265455,10.208839,10.274062,4.319522,1250,0.264512,577,0.093733,11282.500000,4743.500000,NA,NA,NA,NA,NA,NA,NA,NA,11210.875000,4.639116,4684.125000,2.283434,
8,cube0,1027.041138,1848674,22.437887,22.393950,22.380974,8.488680,5286,0.112399,1349,0.475828,18,0.004353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24577.750000,9321.875000,24592.000000,8.482557,567.500000,0.259127,0.000000,0.000000,9216.000000,4.009300,NA,NA,NA,NA,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1026.760010,1848168,4.263748,10.210205,10.273607,4.319181,1250,0.263342,577,0.091047,11282.000000,4743.125000,NA,NA,NA,NA,NA,NA,NA,NA,11212.375000,4.639737,4682.250000,2.282520,
8,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1026.459473,1847627,4.265455,10.208839,10.274062,4.319522,1250,0.264901,577,0.089259,11282.500000,4743.500000,NA,NA,NA,NA,NA,NA,NA,NA,11210.875000,4.639116,4684.125000,2.283434,
9,cube0,1022.164429,1839896,22.437887,22.393950,22.380974,8.488680,5286,0.111789,1349,0.472411,18,0.004932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24577.750000,9321.875000,24592.000000,8.482557,567.500000,0.259127,0.000000,0.000000,9216.000000,4.009300,NA,NA,NA,NA,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1021.867798,1839362,4.263748,10.210205,10.273607,4.319181,1250,0.263089,577,0.092721,11282.000000,4743.125000,NA,NA,NA,NA,NA,NA,NA,NA,11212.375000,4.639737,4682.250000,2.282520,
9,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1020.163879,1836295,4.265455,10.208839,10.274062,4.319522,1250,0.255904,577,0.094997,11282.500000,4743.500000,NA,NA,NA,NA,NA,NA,NA,NA,11210.875000,4.639116,4684.125000,2.283434,
10,cube0,1031.456665,1856622,22.437887,22.393950,22.380974,8.488680,5286,0.112189,1349,0.467377,18,0.005190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24577.750000,9321.875000,24592.000000,8.482557,567.500000,0.259127,0.000000,0.000000,9216.000000,4.009300,NA,NA,NA,NA,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1031.106689,1855992,4.263748,10.210205,10.273607,4.319181,1250,0.253161,577,0.091900,11282.000000,4743.125000,NA,NA,NA,NA,NA,NA,NA,NA,11212.375000,4.639737,4682.250000,2.282520,
10,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1030.692261,1855246,4.265455,10.208839,10.274062,4.319522,1250,0.269918,577,0.101217,11282.500000,4743.500000,NA,NA,NA,NA,NA,NA,NA,NA,11210.875000,4.639116,4684.125000,2.283434,
11,cube0,1030.653320,1855176,22.437887,22.393950,22.162426,8.357551,5286,0.112003,1349,0.481592,18,0.005147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24337.750000,9177.875000,24592.000000,8.482557,1847.500000,0.843589,0.000000,0.000000,9216.000000,4.009300,NA,NA,NA,NA,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1030.134399,1854242,4.203305,10.093760,10.158072,4.258739,1250,0.262929,577,0.093948,11155.125000,4676.750000,NA,NA,NA,NA,NA,NA,NA,NA,11084.500000,4.586822,4615.875000,2.250163,
11,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1029.931152,1853876,4.193743,10.093760,10.158072,4.247811,1250,0.258071,577,0.092248,11155.125000,4664.750000,NA,NA,NA,NA,NA,NA,NA,NA,11084.500000,4.586822,4605.375000,2.245044,
12,cube0,1024.060059,1843308,22.437887,22.393950,22.162426,8.357551,5286,0.111356,1349,0.481754,18,0.005126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24337.750000,9177.875000,24592.000000,8.482557,1847.500000,0.843589,0.000000,0.000000,9216.000000,4.009300,NA,NA,NA,NA,
