block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_write_cache_hit,aic_write_cache_miss_allocate,aic_r0_read_cache_hit,aic_r0_read_cache_miss_allocate,aic_r1_read_cache_hit,aic_r1_read_cache_miss_allocate,aic_write_hit_rate(%),aic_read_hit_rate(%),aic_total_hit_rate(%),aiv_time(us),aiv_total_cycles,aiv_write_cache_hit,aiv_write_cache_miss_allocate,aiv_r0_read_cache_hit,aiv_r0_read_cache_miss_allocate,aiv_r1_read_cache_hit,aiv_r1_read_cache_miss_allocate,aiv_write_hit_rate(%),aiv_read_hit_rate(%),aiv_total_hit_rate(%),
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1030.134399,1854242,9111,745,30521,14143,30446,14131,92.441154,68.317253,70.716568,
11,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1029.931152,1853876,9024,805,29586,15014,29701,14940,91.809952,66.434708,68.952255,
12,cube0,1024.060059,1843308,7122,14416,17800,79550,17794,79558,33.067139,18.281271,19.753977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1023.513916,1842325,9092,764,30324,14348,30252,14317,92.248375,67.879112,70.302834,
12,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1023.036682,1841466,9056,776,29611,15043,29635,14952,92.107407,66.388771,68.941086,
13,cube0,1025.790039,1846422,4132,14846,16960,81320,17059,81283,21.772579,17.301725,17.695269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1025.280518,1845505,9169,767,30859,14207,30871,14319,92.280594,68.394348,70.763138,
13,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1025.099487,1845179,9249,797,30374,14780,30274,14832,92.066498,67.192558,69.683769,
14,cube0,1020.161133,1836290,4221,14757,16812,81528,16916,81366,22.241543,17.153727,17.601578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1019.844971,1835721,9136,800,30618,14494,30572,14572,91.948471,67.796043,70.191231,
14,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1019.064453,1834316,9176,870,29916,15164,29985,15195,91.339836,66.364944,68.866272,
15,cube0,1020.739441,1837331,4320,14658,17024,81279,16956,81363,22.763199,17.281891,17.764378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1020.390015,1836702,9157,779,30732,14363,30824,14337,92.159821,68.201561,70.577492,
15,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1020.080017,1836144,9246,800,30185,14881,30342,14852,92.036629,67.058495,69.560143,
16,cube0,1018.450562,1833211,4248,14730,17235,81159,17190,81038,22.383812,17.508213,17.937384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1018.105530,1832590,9171,765,30263,14902,30259,14832,92.300728,67.055931,69.559448,
16,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1017.771118,1831988,9241,805,29832,15277,29900,15251,91.986862,66.177711,68.762589,
17,cube0,1020.546692,1836984,4190,14788,17346,80992,17443,80841,22.078196,17.693340,18.079313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1018.963867,1834135,9119,817,30341,14816,30323,14776,91.777374,67.213257,69.649277,
17,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1020.205017,1836369,9283,763,29922,15260,29810,15268,92.404938,66.177711,68.804459,
18,cube0,1028.292725,1850927,4445,14533,17161,81142,17129,81190,23.421858,17.439554,17.966141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1027.733276,1849920,9159,777,30618,14427,30877,14334,92.179955,68.133972,70.518608,
18,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1027.166626,1848900,9178,868,30485,14665,30443,14667,91.359749,67.502769,69.892128,
19,cube0,1022.494446,1840490,4102,14876,17354,80988,17360,80920,21.614502,17.655197,18.003710,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1021.425537,1838566,9139,797,30543,14594,30569,14550,91.978661,67.709625,70.116379,
19,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1021.876648,1839378,9207,839,30476,14750,30297,14737,91.648415,67.331047,69.766518,
