Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
2,Mul_ee98c6628030785f610b924ab1557b31_high_performance_210010000,AI_VECTOR_CORE,46,74,100.662,1783586425255472.572	,1783586425255573.234	
2,Cast_9f288b80370c6545ffe8cef142d37f5c_high_performance_210010000,AI_VECTOR_CORE,46,75,28.160,1783586425255585.975	,1783586425255614.135	
2,Transpose_9a632dc5b6be9e1b4215e3cf2b1aff0d_high_performance_13,AI_VECTOR_CORE,46,76,12.500,1783586425255635.176	,1783586425255647.676	
2,Transpose_be837fe498fad076d01c0ce8dfd3d014_high_performance_13,AI_VECTOR_CORE,46,77,17.160,1783586425255667.256	,1783586425255684.417	
2,Cast_b2717900ea7de2d41ea9c63d23aa269b_high_performance_210000000,AI_VECTOR_CORE,46,78,8.400,1783586425255708.217	,1783586425255716.617	
2,RecomputeWUFwd_db1266119f353de0ebc225d450c249d8_1,MIX_AIC,46,79,243.824,1783586425255758.138	,1783586425256001.963	
2,Transpose_be837fe498fad076d01c0ce8dfd3d014_high_performance_5,AI_VECTOR_CORE,46,80,51.901,1783586425256265.488	,1783586425256317.389	
2,ZerosLike_1c4543fdfe7149b6b0717bd88f061562_high_performance_210010000,AI_VECTOR_CORE,46,81,24.480,1783586425256431.112	,1783586425256455.592	
2,ChunkGatedDeltaRuleFwdH_fc2a70c4a72e8f2b344fa13de449cc34_0,MIX_AIC,46,82,298.525,1783586425256695.637	,1783586425256994.163	
2,N/A,PROFILING_DISABLE,49,5,0.020,1783586425872241.816	,1783586425872241.836	
