Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,acl,aclnnMulGetWorkspaceSize,38.8,1,38.8,38.8,38.8,0
host,acl,aclnnMuls,2150.12,1,2150.12,2150.12,2150.12,0
host,acl,aclnnMulsGetWorkspaceSize,2741.84,1,2741.84,2741.84,2741.84,0
host,acl,aclnnPowTensorScalar,2994.9,2,1497.45,344.41,2650.49,1329501.242
host,acl,aclnnPowTensorScalarGetWorkspaceSize,3122.71,2,1561.355,967.39,2155.32,352794.421
host,acl,aclnnPrepareWyReprBwdDa,346.38,1,346.38,346.38,346.38,0
host,acl,aclnnPrepareWyReprBwdDaGetWorkspaceSize,1261.55,1,1261.55,1261.55,1261.55,0
host,acl,aclnnPrepareWyReprBwdFull,424.15,1,424.15,424.15,424.15,0
host,acl,aclnnPrepareWyReprBwdFullGetWorkspaceSize,1522.83,1,1522.83,1522.83,1522.83,0
host,acl,aclnnRecomputeWUFwd,443.11,2,221.555,48.9,394.21,29809.749
host,acl,aclnnRecomputeWUFwdGetWorkspaceSize,1498.43,2,749.215,87.27,1411.16,438171.183
host,acl,aclnnSigmoid,481.13,1,481.13,481.13,481.13,0
host,acl,aclnnSigmoidGetWorkspaceSize,1240.72,1,1240.72,1240.72,1240.72,0
host,acl,aclnnSub,3717.27,6,619.545,9.65,3632.97,1816204.654
host,acl,aclnnSubGetWorkspaceSize,130350.88,1,130350.88,130350.88,130350.88,0
host,acl,aclnnSubs,110.93,5,22.186,8.05,76.31,732.669
host,acl,aclnnSubsGetWorkspaceSize,38.12,1,38.12,38.12,38.12,0
host,acl,aclrtBinaryLoadFromData,21953.92,34,645.704,51.18,4123.22,963600.577
host,acl,aclrtCreateStreamWithConfig,1645.5,2,822.75,710.77,934.73,12539.52
host,acl,aclrtCtxGetSysParamOpt,406.23,472,0.861,0.45,11.46,1.028
host,acl,aclrtCtxSetSysParamOpt,4.45,2,2.225,0.95,3.5,1.626
host,acl,aclrtDestroyStreamForce,2162.71,1,2162.71,2162.71,2162.71,0
host,acl,aclrtFree,4634.63,20,231.731,1.87,867.26,47314.242
host,acl,aclrtGetCurrentContext,1.9,1,1.9,1.9,1.9,0
host,acl,aclrtGetHardwareSyncAddr,41.35,25,1.654,0.51,12.23,4.987
host,acl,aclrtGetResInCurrentThread,162.39,148,1.097,0.24,3.98,0.891
host,acl,aclrtGetStreamAttribute,94.18,108,0.872,0.31,3.6,0.425
host,acl,aclrtLaunchKernelWithHostArgs,1351.71,103,13.123,3.42,53.9,102.531
host,acl,aclrtMemcpy,1115.46,26,42.902,31.19,140.1,405.957
host,acl,aclrtMemcpyAsync,53.01,5,10.602,5.84,18.74,22.335
host,acl,aclrtRandomNumAsync,227.56,5,45.512,38.04,65.27,103.677
host,acl,aclrtResetDevice,8.06,1,8.06,8.06,8.06,0
host,acl,aclrtSetDevice,150.17,2,75.085,73.7,76.47,1.918
host,acl,aclrtSetOpExecuteTimeOutV2,1219.22,1,1219.22,1219.22,1219.22,0
host,acl,aclrtSetStreamFailureMode,9.3,2,4.65,3.73,5.57,0.846
host,acl,aclrtSynchronizeDeviceWithTimeout,455.11,9,50.568,8.26,150.58,2403.285
host,acl,aclrtSynchronizeStream,99.7,12,8.308,4.61,15.44,13.922
host,acl,aclrtSynchronizeStreamWithTimeout,313.08,14,22.363,9.44,97.51,491.832
host,node,launch,11425.19,118,96.824,4.37,761.51,20835.105
