Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
2,IsFinite_b7bc55b48bdf94d74b955b3c42bf74f0_high_performance_2590,AI_VECTOR_CORE,46,109,54.541,1783561414033328.728	,1783561414033383.269	
2,ReduceAll_4f12aca806ed482b082e86983ec4bb6f_high_performance_1100400,MIX_AIV,46,110,23.220,1783561414033384.169	,1783561414033407.389	
2,Cast_b2717900ea7de2d41ea9c63d23aa269b_high_performance_210010000,AI_VECTOR_CORE,46,111,20.960,1783561414033502.071	,1783561414033523.032	
2,LpNormV2_f1a7bd09d5043bf610882013edb3df3e_high_performance_61100400,MIX_AIV,46,112,37.740,1783561414033547.072	,1783561414033584.813	
2,Cast_b2717900ea7de2d41ea9c63d23aa269b_high_performance_210000000,AI_VECTOR_CORE,46,113,7.420,1783561414033845.778	,1783561414033853.198	
2,IsFinite_b7bc55b48bdf94d74b955b3c42bf74f0_high_performance_2590,AI_VECTOR_CORE,46,114,5.240,1783561414033889.899	,1783561414033895.139	
2,ReduceAll_4f12aca806ed482b082e86983ec4bb6f_high_performance_1100400,MIX_AIV,46,115,7.760,1783561414033983.181	,1783561414033990.941	
2,Cast_b2717900ea7de2d41ea9c63d23aa269b_high_performance_210000000,AI_VECTOR_CORE,46,116,2.780,1783561414034122.264	,1783561414034125.044	
2,LpNormV2_f1a7bd09d5043bf610882013edb3df3e_high_performance_1100400,MIX_AIV,46,117,13.780,1783561414034296.987	,1783561414034310.767	
2,Cast_b2717900ea7de2d41ea9c63d23aa269b_high_performance_210000000,AI_VECTOR_CORE,46,118,2.560,1783561414034464.670	,1783561414034467.230	
2,IsFinite_b7bc55b48bdf94d74b955b3c42bf74f0_high_performance_2590,AI_VECTOR_CORE,46,119,5.980,1783561414034477.031	,1783561414034483.011	
2,ReduceAll_4f12aca806ed482b082e86983ec4bb6f_high_performance_1100400,MIX_AIV,46,120,7.840,1783561414034503.091	,1783561414034510.931	
2,Cast_b2717900ea7de2d41ea9c63d23aa269b_high_performance_210000000,AI_VECTOR_CORE,46,121,2.900,1783561414034615.793	,1783561414034618.693	
2,LpNormV2_f1a7bd09d5043bf610882013edb3df3e_high_performance_1100400,MIX_AIV,46,122,11.580,1783561414034660.734	,1783561414034672.315	
2,N/A,PROFILING_DISABLE,49,6,0.000,1783561414447664.006	,1783561414447664.006	
